SFH10,SFH6,SFH8,SFH9
0.225116561,0.015375396,0.020356798,0.029208072
0.137536057,0.091653127,0.007649938,0.020271251
0.04825863,0.001622005,0.006419503,0.008248322
0.059532474,0.041923099,0.007182389,0.007834636
0.021490223,0.018937488,0.00910222,0.036230612
0.008321273,0.043531565,0.005458946,0.026860116
0.042334501,0.099060507,0.007964242,0.036389066
0.022114956,0.011210931,0.005717985,0.056253625
0.120279524,0.012671912,0.031704702,1
0.100805649,0.15409819,0.097738549,0.432351107
0.08393991,0.748420338,0.169658513,0.241383834
0.334804646,0.066933716,0.068318931,0.305795944
0.146759201,0.026257478,0.052237345,0.194789586
0.100651368,0.008277913,0.045278716,0.027489147
0.115196715,0.056247304,0.069193209,0.117463106
0.114307394,0.013988719,0.128298159,0.412487462
0.73043792,0.041095825,0.25415287,0.263246094
0.315843065,0.090668079,0.269426908,0.051446821
0.29169312,0.06345958,0.077930378,0.074171978
0.477334395,0.218361191,0.065266855,0.076118872
0.211125209,0.285542652,0.0706062,0.079572103
0.106111906,0.208760275,0.068563319,0.088721846
0.269418217,0.147305576,0.02133638,0.06510993
0.197389971,0.005546747,0.019881443,0.046056482
0.146132011,0.023405387,0.013791241,0.009363295
0.134389284,0.028053718,0.018415648,0.017534434
0.116562951,0.001470804,0.010468847,0.031867728
0,0.051910468,0.001559568,0.032429675
0.029500571,0.008581725,0.010809385,0.238122529
0.094559191,0.358725962,0.056717426,0.111666733
0.207195608,0.264418906,0.193542464,0.049980171
0.10369357,0.010697583,0.101585781,0.100832151
0.06725058,0.026626514,0.30042137,0.197338892
0.136970869,0.025647775,0.607862752,0.038950982
0.260000377,0.000885621,0.299779829,0.009310664
0.115839619,0.046048032,0.049809991,0.036227841
0.138971951,0.007414621,0.028682652,0.247134486
0.98963889,0.004396203,0.16932847,0.166659741
0.236287731,0.048349421,0.35584603,0.102266877
0.210123896,0.002143841,0.214496022,0.102211461
0.33096711,0.179659042,0.056514066,0.04929688
0.737473716,0.356256899,0.064952357,0.074070599
0.255958782,0.277064686,0.341874467,0.083407215
0.342152516,0.266970271,0.371132823,0.112004
0.144349225,0.198037441,0.077518381,0.085085046
0.237344455,0.134408248,0.066773922,0.057962504
0.236036862,0.094224062,0.053551522,0.036980217
0.270037119,0.002976178,0.014368158,0.042688842
0.186289959,0.030421389,0.011737916,0.018836592
0.032846909,0.021483549,0.011909934,0.015841061
0.003636634,0.001175454,0.008773189,0.012265818
0.049839274,0.050320753,0.010433012,0.032613955
0.020315053,0.001171412,0.012947336,0.257784078
0.159705102,0.337509011,0.008563642,0.195777836
0.027703432,0.277544384,0.028764354,0.123214018
0.040819137,0.01100899,0.024597675,0.015258867
0.035329378,0.034407048,0.433370944,0.066969262
0.14433246,0.017328316,0.432194601,0.048632436
0.188530693,0.001214898,0.428725227,0.34892189
0.085883885,0.050325476,0.202182715,0.338306046
0.088764452,0.001380922,0.011466857,0.089969387
0.09766007,0.015994898,0.048004628,0.447899014
0.196346955,0.035352489,0.349168626,0.018742636
0.233143885,0.001933336,0.156145681,0.154758201
0.526339539,0.053488822,0.063207452,0.051986704
0.266298582,0.181074912,0.086710142,0.040345931
0.256079673,0.307449101,0.261456581,0.132194017
0.279621557,0.221971516,0.067002934,0.111974774
0.336963077,0.171565238,0.05871396,0.069508033
0.249652288,0.158547664,0.052889144,0.12422965
0.195197658,0.038359043,0.029633691,0.148486318
0.138434393,0.001199861,0.020709626,0.03550384
0.138163974,0.038864973,0.012035959,0.029640643
0.088889114,0.010671652,0.013336556,0.008783027
0.04293521,0.000379061,0.008819173,0.010869847
0.048095522,0.048058958,0.003617774,0.023097792
0.023490111,0,0.014826629,0.235896036
0.082175108,0.318077217,0.028287962,0.097694095
0.010321746,0.302001768,0.032341858,0.033491899
0.081492563,0.000413265,0.485557246,0.033482949
0.07493984,0.039448066,1,0.162312253
0.128293057,0.011300624,0.750805541,0.122643382
0.109339272,0.001261936,0.420946843,0.135104423
0.130970712,0.05006753,0.218183654,0.022378051
0.109671834,0.001568532,0.197034406,0
0.08178333,0.066007292,0.090515537,0.026301089
0.087291165,0.079205083,0.04536234,0.048276885
0.131449733,0.00675497,0.070830761,0.117690311
0.153962064,0.049150387,0.06640968,0.11736106
0.229836534,0.022464228,0.342731995,0.110129606
0.777846545,0.011539642,0.09263109,0.04387207
0.191014381,0.057582246,0.053723979,0.165610844
0.163973424,0.008051879,0.052963141,0.109568297
0.185330581,0.203614589,0.05229122,0.075666179
0.16389735,0.297805719,0.017814546,0.039935593
0.137603188,0.025941488,0.017117235,0.021912276
0.021575407,0.034934388,0.02090599,0.037388502
0.021259282,0.01591193,0.004115046,0.038115045
0.031464471,0.000733009,0.005824167,0.019685627
0.045546087,0.050358409,0.014632036,0.00905501
0.037351721,0.016429522,0.030179697,0.017830191
0.134160053,0.370543825,0.009239954,0.031571016
0.070574955,0.251444542,0.025770004,0.481447098
0.049935369,0.02095189,0.220996493,0.171872815
0.058239901,0.025845548,0.379147028,0.064552777
0.123181237,0.024096081,0.32735078,0.058267995
0.202135675,0.001346843,0.020384532,0.081387717
0.240789403,0.042954581,0.162573509,0.051256539
0.195576629,0.008618701,0.005146421,0.038606884
0.136007041,0.000665242,0.008875172,0.031444278
0.113783932,0.049033907,0.021109645,0.05048722
0.126472339,0.001086932,0.029332234,0.094339761
