,power_mean_jan_normalised,power_max_normalised,power_min_normalised,power_std_normalised,data_points_count
1/15/2015 0:00,0,0,0,0,60
1/15/2015 1:00,0,0,0,0,60
1/15/2015 2:00,0,0,0,0,60
1/15/2015 3:00,0,0,0,0,60
1/15/2015 4:00,0,0,0,0,60
1/15/2015 5:00,0,0,0,0,60
1/15/2015 6:00,0,0,0,0,60
1/15/2015 7:00,0,0,0,0,60
1/15/2015 8:00,0,0,0,0,60
1/15/2015 9:00,0.010439172,0.029470171,0,0.009535986,60
1/15/2015 10:00,0.035173928,0.069856176,0.019415318,0.014321481,60
1/15/2015 11:00,0.034417785,0.074986314,0,0.015381963,60
1/15/2015 12:00,0.019700478,0.044629279,0,0.011655577,60
1/15/2015 13:00,0.003510723,0.016488994,0,0.005738028,60
1/15/2015 14:00,0.001043782,0.014113234,0,0.003502619,60
1/15/2015 15:00,0,0,0,0,60
1/15/2015 16:00,0,0,0,0,60
1/15/2015 17:00,0,0,0,0,60
1/15/2015 18:00,0,0,0,0,60
1/15/2015 19:00,0,0,0,0,60
1/15/2015 20:00,0,0,0,0,60
1/15/2015 21:00,0,0,0,0,60
1/15/2015 22:00,0,0,0,0,60
1/15/2015 23:00,0,0,0,0,60
1/16/2015 0:00,0,0,0,0,60
1/16/2015 1:00,0,0,0,0,60
1/16/2015 2:00,0,0,0,0,60
1/16/2015 3:00,0,0,0,0,60
1/16/2015 4:00,0,0,0,0,60
1/16/2015 5:00,0,0,0,0,60
1/16/2015 6:00,0,0,0,0,60
1/16/2015 7:00,0,0,0,0,60
1/16/2015 8:00,0.028250469,0.088182678,0,0.029471566,60
1/16/2015 9:00,0.135363583,0.174649907,0.089079675,0.023869882,60
1/16/2015 10:00,0.191905434,0.213356506,0.162528714,0.012500666,60
1/16/2015 11:00,0.161206951,0.224336815,0.093948812,0.044230875,60
1/16/2015 12:00,0.117949417,0.184167327,0.078585198,0.025263334,60
1/16/2015 13:00,0.078440902,0.09358506,0.06694079,0.007728447,60
1/16/2015 14:00,0.058519896,0.086597931,0.037439306,0.013838602,60
1/16/2015 15:00,0.009011016,0.046032819,0,0.014871085,60
1/16/2015 16:00,0,0,0,0,60
1/16/2015 17:00,0,0,0,0,60
1/16/2015 18:00,0,0,0,0,60
1/16/2015 19:00,0,0,0,0,60
1/16/2015 20:00,0,0,0,0,60
1/16/2015 21:00,0,0,0,0,60
1/16/2015 22:00,0,0,0,0,60
1/16/2015 23:00,0,0,0,0,60
1/17/2015 0:00,0,0,0,0,60
1/17/2015 1:00,0,0,0,0,60
1/17/2015 2:00,0,0,0,0,60
1/17/2015 3:00,0,0,0,0,60
1/17/2015 4:00,0,0,0,0,60
1/17/2015 5:00,0,0,0,0,60
1/17/2015 6:00,0,0,0,0,60
1/17/2015 7:00,0,0,0,0,60
1/17/2015 8:00,0.049398084,0.092801505,0,0.025352582,60
1/17/2015 9:00,0.136004406,0.175404286,0.094358042,0.024217584,60
1/17/2015 10:00,0.198535218,0.216367373,0.175974586,0.012597591,60
1/17/2015 11:00,0.221805798,0.22539393,0.215711399,0.002590843,60
1/17/2015 12:00,0.205623626,0.221902969,0.183789436,0.011867248,60
1/17/2015 13:00,0.149188893,0.18584986,0.074751038,0.025203073,60
1/17/2015 14:00,0.072415521,0.115648061,0.029996382,0.023748413,60
1/17/2015 15:00,0.003123879,0.028662645,0,0.007778807,60
1/17/2015 16:00,0,0,0,0,60
1/17/2015 17:00,0,0,0,0,60
1/17/2015 18:00,0,0,0,0,60
1/17/2015 19:00,0,0,0,0,60
1/17/2015 20:00,0,0,0,0,60
1/17/2015 21:00,0,0,0,0,60
1/17/2015 22:00,0,0,0,0,60
1/17/2015 23:00,0,0,0,0,60
1/18/2015 0:00,0,0,0,0,60
1/18/2015 1:00,0,0,0,0,60
1/18/2015 2:00,0,0,0,0,60
1/18/2015 3:00,0,0,0,0,60
