LG 01,LG 07,LG 03,small_ind_load_1,small_ind_load_2,load_bus3,load_bus4,load_bus5,load_bus9,load_bus10,load_bus11,load_bus6,SFH9,eload_med_ind,eload_small_ind,eload_comm
13.92293539,25.80162201,4.102014945,0.657366548,0.288619336,0.079257016,0.117598841,0.791800948,0.289271099,0.038282443,0.10265206,0.005497937,0.029208072,0.254242135,0.484154522,0.02075227
13.87094534,13.16803986,3.758880615,0.414187426,0.128433821,0.090985882,0.117598519,0.791767084,0.288896152,0.038019967,0.094488291,0.005093186,0.020271251,0.240181125,0.481841314,0.026588846
12.50360703,7.071686601,4.944253755,0.168161329,0.12201213,0.079801699,0.117597174,0.791252367,0.289646919,0.033040079,0.093201833,0.005121502,0.008248322,0.230600572,0.421003932,0.020103761
6.08283585,5.356014951,5.89567167,0.098362989,0.172672137,0.09147869,0.117595684,0.790208105,0.289271664,0.032902816,0.09200549,0.005040957,0.007834636,0.215061964,0.135322693,0.022697795
9.966492585,5.459995051,6.08283585,0.050794781,0.304316803,0.107771634,0.11972039,0.882729737,0.301869923,0.034441225,0.113424541,0.00660669,0.036230612,0.214346997,0.308119362,0.016861219
8.68233835,7.656054763,6.067238835,0.003226572,0.19158045,0.158144185,0.119375728,0.882735426,0.350860684,0.038562999,0.112710039,0.00921042,0.026860116,0.208960915,0.250983114,0.01232166
7.190223915,5.837442814,6.92507466,0.245029656,0.125222975,0.203124014,0.19153895,1.099812391,0.427521744,0.059447458,0.161088913,0.011771055,0.036389066,0.312726406,0.184594032,0.032425422
5.07422888,14.11633838,9.405000045,0.694424674,0.125936497,0.221099726,0.365271115,1.212212612,0.542935711,0.076302966,0.162444583,0.011126738,0.056253625,0.685462345,0.090446449,0.586251621
3.748482605,14.57177121,12.88313439,0.603036773,0.126650018,0.216650161,0.442639009,1.241299334,1.048236192,0.098287719,0.218054768,0.011678718,1,0.745042898,0.031459635,0.955252918
17.54664188,21.70584587,12.52440305,0.539928826,0.503389226,0.225471366,0.442686406,1.274596127,1.011530544,0.080991083,0.244471175,0.011527393,0.432351107,0.725691134,0.645385149,1
22.17895533,23.13661205,12.27485081,0.533333333,0.650374599,0.222816751,0.448695297,1.282032597,0.962614076,0.053906732,0.234746064,0.011695359,0.241383834,0.768255481,0.851492019,0.720492866
21.09236329,25.60509963,12.35283588,0.598386714,0.560827685,0.220890427,0.449527411,1.291409542,0.962591964,0.051335648,0.26402492,0.010850986,0.305795944,0.829170639,0.803145963,0.744487678
21.18074637,24.47483594,15.16029858,0.633594306,0.585444167,0.207402457,0.448446667,1.256236085,0.912766136,0.051523654,0.245724092,0.015141602,0.194789586,0.595042898,0.807078418,0.577821012
21.64865682,25.22869166,13.97492544,0.567781732,0.735997146,0.218213692,0.442443801,1.292050606,0.962563266,0.051542488,0.243734841,0.014061837,0.027489147,0.862774071,0.827897294,0.939040208
