,jan,jun,jul,wind_normalized_jan,wind_normalized_jul
0,0.621,0.161,0.274,0.524305556,0.113402062
1,0.661,0.155,0.31,0.513888889,0.144329897
2,0.724,0.18,0.343,0.190972222,0.109965636
3,0.73,0.184,0.361,0.138888889,0
4,0.788,0.19,0.349,0.184027778,0.072164948
5,0.827,0.192,0.344,0.25,0.120274914
6,0.829,0.19,0.323,0,0.158075601
7,0.82,0.191,0.282,0.038194444,0.216494845
8,0.821,0.201,0.294,0.145833333,0.302405498
9,0.799,0.204,0.289,0.201388889,0.422680412
10,0.783,0.209,0.275,0.3125,0.546391753
11,0.798,0.223,0.266,0.423611111,0.652920962
12,0.82,0.24,0.287,0.520833333,0.735395189
13,0.844,0.283,0.334,0.729166667,0.81443299
14,0.856,0.32,0.367,1,0.907216495
15,0.872,0.323,0.454,1,0.986254296
16,0.89,0.309,0.614,0.927083333,1
17,0.897,0.282,0.61,0.829861111,0.845360825
18,0.898,0.278,0.646,0.822916667,0.652920962
19,0.906,0.264,0.681,0.802083333,0.608247423
20,0.913,0.254,0.683,0.71875,0.573883162
21,0.921,0.276,0.769,0.635416667,0.560137457
22,0.924,0.261,0.799,0.520833333,0.580756014
23,0.914,0.251,0.777,0.402777778,0.560137457
